Name,Objective,LB
PSC1-C1-50-5,1923813,1917965.37
PSC1-C1-50-10,3273933,3263440.17
PSC1-C1-100-5,3798274,3784271.46
PSC1-C1-100-10,6535806,6511669.91
PSC1-C2-50-5,1640975,1626402.5
PSC1-C2-50-10,2994047,2970497.6
PSC1-C2-100-5,3213265,3191482.99
PSC1-C2-100-10,5960313,5920779.24
PSC1-C3-50-5,13145567,12990998.89
PSC1-C3-50-10,25960764,25540592.52
PSC1-C3-100-5,25739169,25515168
PSC1-C3-100-10,51166108,50522079.73
PSC1-C4-50-5,1879299,1843231.28
PSC1-C4-50-10,3473505,3373964.28
PSC1-C4-100-5,3634814,3587239.19
PSC1-C4-100-10,6754051,6602979.6
PSC1-C5-50-5,13134021,13091158.78
PSC1-C5-50-10,25717527,25635695.27
PSC1-C5-100-5,25866758,25796372.52
PSC1-C5-100-10,51093618,50856368.84
,,
PSC2-C1-50-5,1932456,1923257.29
PSC2-C1-50-10,3282955,3266932.18
PSC2-C1-100-5,3785322,3773529.18
PSC2-C1-100-10,6526085,6503914.56
PSC2-C2-50-5,1639257,1629921.95
PSC2-C2-50-10,3006413,2984826.32
PSC2-C2-100-5,3215931,3206600.54
PSC2-C2-100-10,5964836,5923106.88
PSC2-C3-50-5,13156551,13000829.24
PSC2-C3-50-10,25974022,25547702.93
PSC2-C3-100-5,25722460,25487706.49
PSC2-C3-100-10,51148230,50497843.9
PSC2-C4-50-5,1881687,1843338.08
PSC2-C4-50-10,3468677,3378388.57
PSC2-C4-100-5,3632900,3578694.22
PSC2-C4-100-10,6749386,6601181.29
PSC2-C5-50-5,13077855,13035416.62
PSC2-C5-50-10,25637410,25549928.96
PSC2-C5-100-5,25753189,25683742.56
PSC2-C5-100-10,51079935,50837880.63
,,
PSC3-C1-50-5,1944248,1924080.54
PSC3-C1-50-10,3278805,3269726.7
PSC3-C1-100-5,3794416,3781965.42
PSC3-C1-100-10,6546643,6510059.81
PSC3-C2-50-5,1639186,1628998.79
PSC3-C2-50-10,3005927,2980405.93
PSC3-C2-100-5,3219080,3204940.44
PSC3-C2-100-10,5961685,5923184.27
PSC3-C3-50-5,13080388,12924470.82
PSC3-C3-50-10,25874524,25440167.66
PSC3-C3-100-5,25581309,25352965.89
PSC3-C3-100-10,51117016,50459914.35
PSC3-C4-50-5,1879770,1842833.04
PSC3-C4-50-10,3469526,3374599.65
PSC3-C4-100-5,3640496,3588164.89
PSC3-C4-100-10,6750915,6598980.33
PSC3-C5-50-5,13124987,13082149.85
PSC3-C5-50-10,25709498,25626887.56
PSC3-C5-100-5,25801967,25734675.06
PSC3-C5-100-10,51030227,50788737.46
,,
PSC4-C1-50-5,1921403,1908337.89
PSC4-C1-50-10,3280957,3271651.57
PSC4-C1-100-5,3792446,3775681.71
PSC4-C1-100-10,6536065,6517271.42
PSC4-C2-50-5,1644747,1633699.67
PSC4-C2-50-10,3006242,2979341.43
PSC4-C2-100-5,3225899,3215618.01
PSC4-C2-100-10,5978242,5933069.95
PSC4-C3-50-5,13155258,12993879.5
PSC4-C3-50-10,25961987,25542343.01
PSC4-C3-100-5,25748929,25516110.29
PSC4-C3-100-10,51182769,50533853.8
PSC4-C4-50-5,1875020,1834853.48
PSC4-C4-50-10,3461825,3366452.06
PSC4-C4-100-5,3619326,3571407.87
PSC4-C4-100-10,6756103,6607847.45
PSC4-C5-50-5,13136304,13094221.46
PSC4-C5-50-10,25711846,25634744.81
PSC4-C5-100-5,25870231,25802583.31
PSC4-C5-100-10,51105228,50869425.9
,,
PSC5-C1-50-5,1896699,1892077.29
PSC5-C1-50-10,3280444,3263024.21
PSC5-C1-100-5,3801816,3792603.94
PSC5-C1-100-10,6550481,6521029.03
PSC5-C2-50-5,1641695,1629714.59
PSC5-C2-50-10,3002662,2977914.63
PSC5-C2-100-5,3206489,3194590.43
PSC5-C2-100-10,5944864,5907744.81
PSC5-C3-50-5,13109673,12949012.79
PSC5-C3-50-10,25924318,25501317.83
PSC5-C3-100-5,25679909,25449573.86
PSC5-C3-100-10,51122371,50468072.68
PSC5-C4-50-5,1877115,1841836.29
PSC5-C4-50-10,3468948,3372298.63
PSC5-C4-100-5,3640098,3584824.35
PSC5-C4-100-10,6746728,6602994.92
PSC5-C5-50-5,13096549,13050778.19
PSC5-C5-50-10,25675802,25596445.97
PSC5-C5-100-5,25827036,25743948.66
PSC5-C5-100-10,51049870,50807064.2
